品種名稱,SD1015, 25-60inch
批次No.,L062RT08
長度,5031
檢查開始日期時間,2024/08/18 04:32:20
檢查開始結束時間,2024/08/18 06:38:21
個別編號,
受訂編號,
注釋,

檢材寬度設定
,系列1
檢材寬度指定方式,檢材寬度指定 
分割設定,均等分割
檢材寬度(mm),1524.0
分割數,4
基準至檢測材料邊緣距離(mm),158.0
邊緣極性,----
邊緣級別,----
基準系統,----
邊緣檢測回路,----
邊緣檢測視頻,----
邊緣遮罩寬度(mm),0.0,0.0
區域折疊、遮罩寬度(mm),折疊,0.0
區域1寬度(mm),381.0,ON
區域2寬度(mm),381.0,ON
區域3寬度(mm),381.0,ON
區域4寬度(mm),381.0,ON
區域5寬度(mm),----,----
區域6寬度(mm),----,----
區域7寬度(mm),----,----
區域8寬度(mm),----,----
區域9寬度(mm),----,----
區域10寬度(mm),----,----
區域11寬度(mm),----,----
區域12寬度(mm),----,----
區域13寬度(mm),----,----
區域14寬度(mm),----,----
區域15寬度(mm),----,----
區域16寬度(mm),----,----
區域17寬度(mm),----,----
區域18寬度(mm),----,----
區域19寬度(mm),----,----
區域20寬度(mm),----,----
區域21寬度(mm),----,----
區域22寬度(mm),----,----
區域23寬度(mm),----,----
區域24寬度(mm),----,----
區域25寬度(mm),----,----
區域26寬度(mm),----,----
區域27寬度(mm),----,----
區域28寬度(mm),----,----
區域29寬度(mm),----,----
區域30寬度(mm),----,----
區域31寬度(mm),----,----
區域32寬度(mm),----,----
區域33寬度(mm),----,----
區域34寬度(mm),----,----
區域35寬度(mm),----,----
區域36寬度(mm),----,----
區域37寬度(mm),----,----
區域38寬度(mm),----,----
區域39寬度(mm),----,----
區域40寬度(mm),----,----
區域41寬度(mm),----,----
區域42寬度(mm),----,----
區域43寬度(mm),----,----
區域44寬度(mm),----,----
區域45寬度(mm),----,----
區域46寬度(mm),----,----
區域47寬度(mm),----,----
區域48寬度(mm),----,----
區域49寬度(mm),----,----
區域50寬度(mm),----,----
區域51寬度(mm),----,----
區域52寬度(mm),----,----
區域53寬度(mm),----,----
區域54寬度(mm),----,----
區域55寬度(mm),----,----
區域56寬度(mm),----,----
區域57寬度(mm),----,----
區域58寬度(mm),----,----
區域59寬度(mm),----,----
區域60寬度(mm),----,----
區域61寬度(mm),----,----
區域62寬度(mm),----,----
區域63寬度(mm),----,----
區域64寬度(mm),----,----

檢測參數
